Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
Czy jest grafika,Obrazek z tekstu,Ile jest obrazków,Czy s? obrazki tylko online?,Kod zapisu obrazków offline,LIKE,LOVE,HUG,HAHA,WOW,CRY,WRR,Liczba komentarzy
1-0,1-0,liczba,1-0,LP_Koder,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba
1,0,9,1,NA,363,74,1,,1,,,26
1,0,5,0,268_M,,,,,,,,
0,0,0,0,NA,177,73,2,,1,,,131
0,0,0,0,NA,,,,,,,,6
1,0,7,0,271_M,52,4,,,,,,3
1,0,1,0,272_M,10,,,,,,,1
1,0,2,0,273_A,3,,,,,,,12
1,0,2,0,274_A,9,6,,,,,,7
0,0,0,0,NA,2,,,,2,,,3
1,0,1,0,276_A,7,3,,,,,,5
1,0,1,0,277_A,10,2,,,,,,14
1,0,1,0,278_A,16,10,,,,,,21
1,0,0,1,film,,1,,,,,,
0,0,0,0,NA,3,,,,,,,3
1,0,3,0,281_A,5,,,,,,,
1,0,2,0,282_A,11,,,,,,,10
1,0,5,0,283_A,10,2,1,,,,,11
1,0,1,0,284_A,6,2,,,,,,5
0,0,0,0,NA,1,,,,1,,,
1,0,1,0,286_A,3,1,,,,,,2
1,0,1,0,287_A,2,,,,,,,2
1,0,1,0,288_A,8,3,,,,,,2
0,0,0,0,NA,1,,,,,,,21
1,0,9,0,290_A,3,,,,,,,2
0,0,0,0,0,,,,,,,,10
1,0,5,0,292_A,71,25,,,13,,,38
0,0,0,0,NA,4,1,,,,,,6
1,0,0,1,294_A,3,,,,,,,91
0,0,0,0,NA,,,,,,,,14
0,0,0,0,NA,2,,,,,,,59
1,0,1,0,297_G,5,,,,,,,1
0,0,0,0,NA,,,,,,,,3
1,0,1,0,299_G,5,,,,,,,4
1,0,3,0,300_G,24,3,,,,,,12
1,0,13,1,NA,6,1,,,,,,
1,0,9,0,302_G,1,,,,,,,1
0,0,0,0,NA,,,,,,,,10
0,0,0,0,NA,,,1,,,,,3
1,1,1,1,NA,2,,,,,,,41
1,0,3,0,306_G,40,1,,,,,,30
1,0,1,1,NA,1,,,,,,,
0,0,0,0,NA,1,,,,,,,8
0,0,0,0,NA,,,,,,,,6
0,0,0,0,NA,3,,,,,,,29
1,0,1,1,NA,4,4,,,,,,7
1,0,1,0,312_G,18,,1,,,,,14
1,0,0,0,313_G,5,,,,,,,16
0,0,0,0,NA,2,,,,,,,39
0,0,0,0,NA,1,,,,,,,
1,0,3,1,NA,26,,,,,,,9
1,0,2,0,317_G,24,4,,,,,,11
1,0,12,0,318_G,14,,,3,,,,12
0,0,0,0,NA,,,,,,,,11
1,1,1,1,NA,7,1,,,,,,12
1,0,1,0,321_G,10,1,,,,,,16
1,0,2,0,322_G,2,,,,,,,
0,0,0,0,NA,2,,,,,,,19
1,0,0,0,324_G,10,1,,,,,,
1,0,11,0,325_G,26,4,,,,,,14
0,0,0,0,NA,3,,,,,,,14
0,0,0,0,NA,,,,,,,,8
1,0,2,0,328_G,437,162,2,1,99,,,113
1,0,25,1,329_G,9,3,,,,,,
0,0,0,0,NA,1,,,,,,,18
1,0,1,1,NA,62,8,,,,,,13
1,1,1,1,NA,,,,,,,,50
0,0,0,0,NA,1,,,,,,,2
1,0,1,0,334_G,1,,,,,,,
0,0,0,0,NA,2,,,,,,,51
0,0,0,0,NA,2,,,,,,,42
0,0,0,0,NA,5,,,,,,,86
1,0,1,0,338_G,7,1,,,,,,
1,0,19,1,339_G,8,,,,,,,
0,0,0,0,NA,1,,,,,,,32
1,0,0,0,341_G,,,,,,,,
0,0,0,0,NA,,,,,,,,21
1,0,1,0,343_G,11,,,,,,,1
1,0,2,0,344_G,10,1,,,,,,22
1,0,3,1,345_G,48,5,,,,,,5
1,0,1,0,346_G,1,,,,,,1,19
1,1,1,1,NA,9,,,,,,,134
1,0,1,0,348_G,,,,,,,,
0,0,0,0,NA,,,,,,,,18
1,0,42,1,NA,15,6,,,,,,
1,0,9,1,351_G,5,1,1,,,,,8
1,0,15,1,NA,15,1,,,,,,1
0,0,0,0,NA,,1,,,,,,19
1,0,1,1,NA,87,16,,,1,,,6
1,0,4,1,355_G,117,19,,,1,,,16
1,0,2,0,356_G,18,4,,,,,,10
1,0,8,0,357_G,10,2,,,,,,
1,0,1,1,NA,3,,,,,1,,
1,0,1,0,359_G,1,,,,,,,
1,0,4,0,360_G,7,,,,,,,1
1,0,2,1,361_G,10,4,,,,,,1
1,0,6,1,362_G,4,,,,,,,
1,0,1,0,363_G,2,,,,,,,
0,0,0,0,NA,,,,,,,,23
1,0,1,0,365_M,7,,,,,,,18
0,0,0,0,NA,1,,,,,,,6
0,0,0,0,NA,5,,,,,,,10
1,0,1,0,368_M,53,12,,,,,,5
1,0,1,0,369_M,62,7,,,,,,14
1,0,6,0,370_M,2,,,,,,,
1,0,1,0,371_M,4,,,,,,,
0,0,0,0,NA,,,,,,,,
0,0,0,0,NA,1,,,,,,,2
1,0,1,0,374_M,39,3,,,,,,28
0,0,0,0,NA,6,,,,,,,72
0,0,0,0,NA,,,,,,,,1
1,0,1,0,377_M,32,5,,,,,,5
1,0,6,1,378_M,327,146,1,1,2,,,35
1,0,1,0,379_M,22,2,,,,,,2
1,0,1,0,380_M,5,,,,,,,
1,0,1,0,381_M,15,1,,,,,,
1,0,1,0,382_M,2,,,,,,,
1,1,1,1,NA,57,1,,7,,,,547
1,0,1,0,384_M,10,,,,,,,3
1,0,1,0,385_M,7,,,,1,,,5
1,0,1,1,NA,13,,,,,,,2
0,0,0,0,NA,2,,,,,,,16
1,0,1,0,388_M,3,,,,,,,7
1,0,4,0,389_M,326,52,,,24,,,120
0,0,0,0,NA,3,,,,,,,
1,0,1,0,391_M,39,,,,,,,130
1,0,1,0,392_M,22,,,,,,,15
1,0,1,0,393_M,27,4,,11,,,,14
1,0,9,0,394_M,46,3,,,,,,4
1,0,3,0,395_M,3,,,,,,,
1,0,1,1,NA,26,,,,,,,
1,0,1,0,397_A,1,4,,,,,,12
1,0,2,0,398_A,3,2,,,1,,,
1,0,4,0,399_A,1,3,,,,,,1
0,0,0,0,NA,1,,,,,,,3
1,0,1,0,401_A,2,,,,,,,2
1,0,1,0,402_A,3,,,,,,,2
1,0,1,1,NA,2,,,,,,,
1,0,4,0,404_M,15,2,,,1,,,
0,0,0,0,NA,14,,1,,,,,125
1,0,4,1,406_M,15,2,,,,,,3
1,0,1,1,NA,5,,,,,,,1
0,0,0,0,NA,5,,,,,,,17
1,0,4,1,409_M,11,1,,,,,,13
1,0,1,1,NA,205,12,2,1,7,,,47
1,0,1,0,411_M,10,1,,,,,,2
1,0,4,1,412_M,18,3,,,,,,12
1,0,1,0,413_M,82,8,,,,,,6
1,0,9,1,414_M,29,,,,,,,
0,0,0,0,NA,7,,1,,,,,30
1,0,2,1,NA,51,6,,,1,,,22
1,0,2,0,417_M,1,1,,,,,,
1,0,1,0,418_M,6,1,,,,,,7
1,0,2,0,419_M,8,,,,,,,15
0,0,0,0,NA,1,,,,,,,17
1,0,1,0,421_M,143,21,1,,,,,33
1,0,1,0,422_M,6,,,,,,,
1,0,4,0,423_M,16,1,,,,,,9
1,0,1,1,NA,20,1,,,,,,
1,0,2,1,425_M,35,3,,,,,,14
1,0,19,1,426_G,23,4,,,,,,
1,0,1,0,427_G,31,1,,,,,,28
1,0,1,0,428_G,10,,,,,,,12
0,0,0,0,NA,,,,,,,,4
0,0,0,0,NA,3,,,,,,,35
0,0,0,0,NA,,,,,,,,24
0,0,0,0,NA,1,,,,,,,11
1,0,17,1,NA,12,2,,,,,,1
0,0,0,0,NA,1,,,,,,,11
1,0,11,1,435_G,3,1,,,,,,2
0,0,0,0,NA,,,,,,,,5
1,0,1,1,NA,1,,,2,,,,
1,0,1,0,438_G,7,,,,,,,
0,0,0,0,NA,4,,,,,,,23
1,0,1,0,440_G,4,,,,,,,7
1,0,1,0,441_G,1,,,,,,,2
0,0,0,0,NA,1,,,,,,,47
1,0,1,0,443_G,26,4,,,1,,,3
1,0,1,0,444_G,,,,,,,,2
1,0,78,1,NA,5,2,,,,,,
0,0,0,0,NA,2,,,,,,,27
1,0,7,1,447_G,2,1,,,,,,
0,0,0,0,NA,1,,,,,,,16
0,0,0,0,NA,,,,,,,,33
0,0,0,0,NA,3,,,,,,,13
0,0,0,0,NA,1,,,1,,,,13
0,0,0,0,NA,1,,,,,,,
0,0,0,0,NA,1,,,,,,,12
1,0,1,0,454_G,,,,,,,,
0,0,0,0,NA,3,,,,,,,52
0,0,0,0,NA,1,1,,,,,,3
1,0,1,0,457_A,14,4,,,,,,7
1,0,1,0,458_A,7,4,1,,,,1,10
1,0,1,0,459_A,8,1,,,,,,1
1,0,3,0,460_A,66,23,,,,,,43
1,0,2,0,460_A,4,,,,1,,,2
0,0,,0,NA,1,,,,,,,1
1,0,1,0,463_A,6,2,,,,,,8
0,0,,0,NA,1,,1,,,,,32
1,0,4,0,465_A,6,3,,,,,,8
1,0,11,0,466_A,68,29,1,,1,,,19
0,0,0,0,NA,1,,,,1,,,
1,0,1,0,468_A,7,,,,,,,14
1,0,1,0,469_A,,,,,,,,17
1,0,1,0,470_A,3,2,,,,,,
1,0,1,0,471_A,27,9,,,,,,8
0,0,0,1,NA,,,,,,,,
0,1,2,0,473_A,7,,,,1,,,
1,0,2,0,474_A,6,2,,,,,,2
1,0,4,0,475_A,4,3,,,,1,,
1,0,4,0,476_A,20,4,,,1,,,1
0,0,0,0,NA,2,,,,,,,51
0,0,0,0,NA,2,,,,,,,15
0,0,0,0,NA,2,,,,,,,47
0,0,0,0,NA,2,,1,,,,,27
0,0,0,0,NA,,,,,,,,
1,0,1,0,NA,10,9,2,7,,,,4
1,0,1,0,485_A,10,,4,,,,,21
0,0,0,0,NA,,,,,,,,8
1,0,1,0,487_A,,,1,,,,,6
