,Z9,Z10,Z11,Z12,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
125,0,0,0.0,0,0.01125,0.004237,0.012931,0.012346,0.0,0.0,0.0,1
126,0,0,0.0,0,0.00625,0.002119,0.0,0.0,0.0,0.0,0.0,1
127,1,0,0.025641,0,0.01,0.010593,0.0,0.0,0.0,0.0,0.0,0
128,1,0,0.038462,1,0.13375,0.061441,0.0,0.0,0.010101,0.0,0.0,1
129,1,0,0.064103,0,0.044375,0.0,0.0,0.0,0.0,0.0,0.0,0
130,1,0,0.038462,0,0.069375,0.014831,0.0,0.0,0.020202,0.0,0.0,1
131,1,0,0.012821,0,0.105625,0.010593,0.0,0.0,0.010101,0.0,0.0,1
132,1,0,0.012821,0,0.06375,0.044492,0.002155,0.0,0.0,0.0,0.0,1
133,0,0,0.038462,1,0.035,0.008475,0.0,0.0,0.0,0.0,0.0,1
134,0,0,0.0,0,0.004375,0.0,0.0,0.0,0.0,0.0,0.0,1
135,1,0,0.012821,0,0.01,0.002119,0.0,0.333333,0.0,0.0,0.0,0
136,1,0,0.051282,0,0.008125,0.0,0.0,0.0,0.0,0.0,0.0,0
137,1,0,0.038462,0,0.008125,0.0,0.0,0.0,0.0,0.0,0.0,0
138,0,0,0.0,0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,1
139,1,0,0.012821,0,0.05125,0.014831,0.0,0.0,0.0,0.0,0.0,1
140,1,0,0.025641,0,0.006875,0.0,0.0,0.0,0.0,0.0,0.0,0
141,1,0,0.012821,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
142,0,0,0.0,0,0.0,0.002119,0.0,0.0,0.0,0.0,0.0,1
143,0,0,0.0,0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,1
144,1,0,0.0,0,0.005625,0.006356,0.0,0.061728,0.0,0.0,0.0,1
145,0,0,0.0,0,0.000625,0.0,0.008621,0.0,0.0,0.0,0.0,1
146,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0
147,1,0,0.0,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,0
148,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
